,car,price,body,mileage,engV,engType,registration,year,drive
55,16,18600.0,4,98,2.4,1,1,2011,0
58,32,49900.0,0,73,3.0,0,1,2011,1
59,32,50900.0,0,53,3.6,3,1,2013,1
60,32,99999.0,0,1,2.99,0,1,2016,1
62,2,35900.0,0,143,3.0,0,1,2010,1
63,16,16500.0,3,147,2.4,3,1,2009,0
66,32,26500.0,0,160,4.8,3,1,2008,1
67,27,12999.0,0,140,2.4,1,1,2007,1
68,16,30000.0,3,52,3.5,1,1,2014,0
69,32,26900.0,0,135,4.8,3,1,2008,1
70,40,80000.0,0,23,4.5,0,1,2014,1
71,3,8500.0,3,260,2.2,1,1,2001,2
72,26,7000.0,5,197,2.2,0,1,2002,0
73,2,36000.0,0,145,3.0,3,1,2010,1
74,26,9500.0,5,280,2.2,0,1,2005,2
76,40,100000.0,0,0,4.5,0,1,2016,1
77,26,16500.0,2,107,2.2,0,1,2010,0
78,40,15500.0,3,120,3.5,3,1,2008,0
79,26,10999.0,5,191,2.2,0,1,2007,2
80,2,88888.0,0,0,3.0,0,1,2015,1
81,26,16500.0,5,223,2.2,0,1,2009,2
82,43,17900.0,0,145,3.0,0,1,2007,1
83,26,20400.0,3,190,1.8,1,1,2011,2
84,43,20000.0,0,115,2.5,0,1,2008,1
85,3,21000.0,3,186,3.0,3,1,2007,2
86,17,11800.0,3,65,1.4,3,1,2013,0
88,43,37990.0,0,140,3.0,0,1,2012,1
89,3,3900.0,4,240,3.0,0,0,2001,2
90,17,9700.0,3,54,1.4,3,1,2013,0
91,26,6200.0,3,221,1.8,1,1,2004,2
92,33,10500.0,4,185,1.5,0,1,2011,0
93,17,6900.0,0,105,1.6,3,1,2009,0
94,26,20300.0,3,198,1.8,1,1,2011,2
95,2,18500.0,0,185,3.6,3,1,2008,1
96,40,73900.0,0,1,4.5,0,1,2016,1
97,40,30500.0,0,40,2.7,3,1,2011,1
98,40,30800.0,0,56,2.7,1,1,2011,1
99,40,25500.0,0,200,4.0,3,1,2007,1
101,29,3550.0,4,231,2.0,0,0,2005,0
102,40,99999.0,0,0,4.5,3,1,2016,1
104,40,74999.0,0,1,4.5,0,1,2016,1
105,2,34000.0,0,118,2.0,0,1,2013,1
106,3,2850.0,3,214,1.9,3,0,2000,2
107,43,3250.0,3,255,1.9,0,0,2003,0
108,43,16900.0,0,133,2.5,0,1,2007,1
109,40,99999.0,0,0,4.5,0,1,2016,1
110,6,6800.0,3,106,1.6,3,1,2007,0
111,40,23400.0,0,120,4.0,3,1,2007,1
112,35,17900.0,3,65,1.8,3,1,2013,0
113,40,37700.0,0,62,3.0,0,1,2013,1
114,22,29500.0,0,50,3.5,0,1,2008,1
115,43,30000.0,3,67,2.0,0,1,2013,0
116,27,7999.0,3,112,2.0,3,1,2008,0
117,22,43500.0,0,54,5.0,3,1,2012,1
119,27,8400.0,3,91,1.5,3,1,2009,0
120,22,40000.0,4,52,2.2,0,1,2013,1
122,29,2780.0,3,254,2.2,0,1,2003,0
123,26,43500.0,2,51,3.0,0,1,2014,2
124,43,18700.0,2,145,2.0,0,1,2011,0
125,6,7800.0,3,85,1.6,1,1,2012,0
126,3,6350.0,0,156,4.4,1,0,2002,1
127,3,25500.0,2,163,4.8,3,1,2008,1
128,22,53500.0,0,69,3.5,0,1,2012,1
129,28,15999.0,0,59,2.0,3,1,2011,1
131,43,14499.0,5,164,2.0,0,1,2013,0
132,10,4300.0,3,70,1.5,3,1,2007,0
133,27,18999.0,0,173,3.8,1,1,2008,1
134,26,71999.0,0,0,2.2,0,1,2016,1
135,27,18500.0,0,135,3.0,1,1,2009,1
136,43,18900.0,2,45,2.0,0,1,2013,0
138,3,67500.0,0,1,2.0,0,1,2016,1
139,3,67500.0,0,1,2.5,0,1,2016,1
140,22,28999.0,0,139,3.6,0,1,2008,1
141,22,49999.0,0,43,5.0,3,1,2012,1
142,40,14700.0,3,139,3.5,3,1,2008,0
143,22,53500.0,0,57,3.0,0,1,2013,1
144,10,5600.0,3,145,1.6,3,1,2008,0
145,22,78900.0,0,0,3.0,0,1,2015,1
146,35,13200.0,1,64,1.8,3,1,2012,0
147,3,37200.0,2,115,3.0,0,1,2011,1
148,22,27500.0,2,174,3.6,0,1,2008,1
149,25,9200.0,3,124,2.0,3,1,2007,0
150,26,17500.0,5,220,3.0,0,1,2012,2
151,40,24000.0,3,16,2.5,3,1,2013,0
152,22,77777.0,0,42,2.99,0,1,2014,1
153,25,8000.0,3,167,2.0,3,1,2007,0
154,23,85999.0,0,39,5.7,1,1,2013,1
155,26,2400.0,3,3,3.0,0,1,1998,0
157,27,18900.0,0,127,3.0,1,1,2008,1
160,40,20800.0,0,107,4.0,3,1,2006,1
161,3,24500.0,0,170,4.8,1,1,2007,1
162,40,12300.0,3,157,2.4,1,1,2007,0
163,26,20500.0,3,173,1.8,1,1,2011,2
164,3,11500.0,3,193,4.4,3,1,2000,2
165,26,13200.0,5,182,2.2,0,1,2011,2
166,3,29900.0,0,235,3.0,0,1,2009,1
167,26,12500.0,5,167,2.2,0,1,2013,2
168,35,13999.0,3,88,1.8,3,1,2012,0
169,13,15500.0,0,68,2.5,1,1,2010,1
170,23,79500.0,0,40,5.7,3,1,2014,1
171,22,30000.0,2,155,3.6,0,1,2008,1
172,23,16600.0,3,179,3.0,3,1,2006,1
173,40,14300.0,3,71,2.4,3,1,2008,0
174,23,47000.0,0,1,5.7,3,1,2008,1
175,10,3200.0,3,130,1.5,3,1,2003,0
176,2,24996.0,3,98,3.2,3,1,2009,1
177,26,9200.0,2,280,2.4,3,1,2003,2
178,2,6800.0,3,225,2.4,1,1,1998,0
179,13,15500.0,0,68,2.5,0,1,2010,0
180,26,38200.0,3,39,1.6,3,1,2015,2
181,35,19200.0,3,75,1.8,3,1,2014,0
184,32,87900.0,0,1,3.0,0,1,2016,1
185,40,9000.0,3,232,2.4,3,1,2005,0
187,18,35999.0,0,98,3.7,1,1,2012,1
188,23,21900.0,3,77,3.0,3,1,2008,2
189,40,13900.0,3,139,2.4,2,1,2008,0
190,23,22400.0,0,100,4.7,1,1,2005,1
191,32,81000.0,0,35,4.8,3,1,2014,1
192,26,6200.0,2,340,2.4,1,1,1998,2
193,3,66900.0,0,70,3.0,0,1,2014,1
195,26,38600.0,2,12,1.8,3,1,2012,2
196,28,21850.0,0,64,2.0,3,1,2013,1
197,26,37500.0,2,94,5.5,3,1,2009,2
198,2,39000.0,3,18,1.8,2,1,2015,0
199,23,44500.0,0,144,5.7,1,1,2009,1
201,40,11300.0,1,87,1.0,3,1,2009,0
202,28,25382.955,0,0,1.6,0,1,2016,1
203,35,8100.0,3,135,1.8,3,1,2008,0
204,27,23000.0,0,125,3.0,1,1,2008,1
205,2,1950.0,4,210,1.8,1,0,1996,0
206,22,33000.0,0,140,5.0,3,1,2010,1
207,22,51500.0,0,93,3.0,0,1,2013,1
208,35,22700.0,1,24,1.4,3,1,2014,0
209,35,11900.0,3,109,1.8,3,1,2012,0
210,3,28000.0,3,170,2.0,0,1,2011,2
211,38,12900.0,4,116,2.0,3,1,2008,1
212,21,16400.0,1,54,1.6,0,1,2013,0
213,40,24171.42,3,1,2.5,3,1,2016,0
215,26,20300.0,3,198,1.8,1,1,2011,2
216,43,9900.0,3,80,1.6,3,1,2011,0
218,2,25500.0,3,140,2.8,3,1,2012,0
220,43,7000.0,5,345,1.9,0,1,2006,0
221,42,3600.0,2,80,2.0,1,1,2002,1
222,16,12990.0,3,111,1.8,3,1,2011,0
224,16,11900.0,3,109,2.4,3,1,2009,0
225,43,12199.0,4,149,2.0,0,1,2008,0
226,6,5200.0,3,179,1.5,1,1,2008,0
227,33,10500.0,4,185,1.5,0,1,2011,0
228,40,24800.0,3,43,2.5,1,1,2015,0
229,21,13300.0,1,35,1.6,3,1,2012,0
230,2,2300.0,4,250,2.5,0,0,2001,1
231,27,6200.0,3,152,1.6,3,1,2006,0
232,28,18200.0,0,65,3.5,1,1,2009,1
233,13,12500.0,3,63,1.6,3,1,2013,0
235,21,8800.0,2,135,2.4,1,1,2006,1
236,32,69900.0,3,40,3.0,0,1,2013,2
237,29,5350.0,3,180,1.4,3,1,2007,0
238,21,42741.621,0,0,2.2,0,1,2016,1
239,43,16500.0,3,123,1.8,3,1,2010,0
240,6,6700.0,3,80,1.5,3,1,2011,0
242,2,3700.0,4,273,2.5,0,0,2003,0
243,1,5900.0,1,199,1.6,3,1,2002,0
244,40,75500.0,0,50,4.6,3,1,2015,1
245,26,55000.0,0,40,4.6,3,1,2013,1
246,27,9800.0,3,148,2.0,1,1,2008,0
247,38,6100.0,4,350,2.0,3,1,2005,1
248,6,5500.0,3,121,1.5,3,1,2006,0
249,6,7799.0,3,199,1.6,1,1,2012,0
250,16,13900.0,1,63,1.8,3,1,2013,0
251,21,14500.0,0,106,2.5,0,1,2008,1
252,36,8000.0,2,62,1.0,3,1,2011,2
253,33,14700.0,0,61,1.5,0,1,2013,0
255,17,14500.0,0,102,2.2,0,1,2008,1
256,42,4100.0,1,60,1.6,3,1,2013,0
257,32,54900.0,3,64,4.8,3,1,2011,1
258,3,30500.0,3,73,2.0,3,1,2013,2
259,43,10700.0,3,195,3.2,3,1,2007,1
260,28,17700.0,1,21,0.11,2,1,2014,0
261,33,8700.0,4,123,1.5,0,1,2009,0
262,16,13200.0,3,145,2.0,1,1,2008,0
263,40,59900.0,0,90,4.5,0,1,2012,1
264,13,12099.0,3,109,1.6,1,1,2011,0
265,43,7300.0,5,240,1.9,0,1,2005,0
266,26,24800.0,2,160,3.0,0,1,2007,2
267,13,12300.0,1,71,1.6,1,1,2013,0
268,38,17000.0,0,134,2.0,3,1,2011,1
270,31,8500.0,5,135,1.6,0,1,2009,0
271,17,29999.0,0,52,2.2,0,1,2014,1
272,39,11500.0,0,101,2.0,3,1,2008,1
273,21,20500.0,0,98,2.0,3,1,2011,1
274,3,89999.0,0,17,4.4,3,1,2015,1
275,33,7800.0,4,120,1.5,0,1,2008,0
276,23,16500.0,3,115,3.0,3,1,2007,2
277,33,10600.0,4,220,2.5,2,1,2006,0
278,2,37800.0,2,126,3.0,0,1,2010,1
279,43,8800.0,5,93,1.6,0,1,2012,0
280,3,8500.0,3,284,1.9,1,1,2000,2
281,40,25900.0,0,97,4.0,3,1,2009,1
282,22,95000.0,0,60,5.0,3,1,2014,1
283,38,8000.0,0,210,2.0,3,1,2005,1
284,3,2550.0,3,280,1.6,3,0,2000,2
285,28,14999.0,1,31,1.0,2,1,2013,0
286,26,12600.0,3,123,3.2,3,1,2000,2
287,33,18456.1611,0,1,1.5,0,1,2016,1
288,26,8200.0,3,280,2.4,1,1,1997,2
289,25,12500.0,3,89,2.0,3,1,2009,0
290,31,8300.0,4,135,2.0,3,1,2008,0
291,2,4150.0,3,220,2.5,0,0,1999,0
292,2,46000.0,3,170,4.2,0,1,2011,1
293,40,28700.0,0,100,3.5,3,1,2012,1
294,10,3499.0,1,104,0.8,3,1,2008,0
295,35,7650.0,3,119,1.8,1,1,2006,0
296,2,2411.0,3,240,1.6,2,1,1987,0
297,43,8900.0,5,272,1.9,0,1,2005,0
298,33,11500.0,4,230,1.5,0,1,2012,0
299,43,4500.0,5,380,2.0,0,1,2004,0
300,17,9600.0,3,98,1.4,3,1,2011,0
301,13,5900.0,1,138,1.4,3,1,2008,0
302,26,9900.0,3,275,2.2,2,1,2005,2
303,40,15300.0,0,130,2.0,3,1,2008,1
304,28,9300.0,1,97,1.2,3,1,2010,0
305,33,12499.0,5,78,2.0,0,1,2012,0
306,28,15000.0,0,46,1.6,3,1,2013,0
307,40,37700.0,0,47,5.7,1,1,2009,1
308,36,6500.0,2,110,1.0,3,1,2007,2
309,39,9650.0,0,81,2.0,3,1,2006,1
310,43,7000.0,3,185,2.8,1,1,2004,1
311,16,13200.0,3,100,1.8,3,1,2012,0
312,16,13400.0,3,38,1.8,3,1,2012,0
313,39,6999.0,0,203,2.0,3,1,2002,1
314,3,34600.0,0,163,5.0,3,1,2011,1
315,21,23999.0,0,14,2.2,0,1,2012,1
316,29,1600.0,3,280,2.3,0,1,1987,2
317,26,35900.0,0,254,5.0,1,1,2004,1
318,13,16400.0,0,87,2.5,3,1,2010,1
319,17,8900.0,3,138,1.4,3,1,2011,0
320,38,38900.0,0,0,2.0,0,1,2016,1
321,33,13200.0,5,230,2.0,0,1,2009,0
322,40,26500.0,0,21,2.0,3,1,2013,1
323,43,7800.0,5,282,2.5,0,1,2000,0
325,2,24900.0,3,163,4.2,0,1,2008,1
326,23,27500.0,0,150,4.7,1,1,2005,1
327,10,3950.0,1,36,0.8,3,1,2011,0
328,3,63500.0,0,33,3.0,3,1,2015,1
329,23,57800.0,0,60,5.7,3,1,2011,1
330,33,6800.0,5,131,1.5,0,1,2013,0
331,28,19000.0,0,70,1.6,3,1,2012,0
332,40,14700.0,3,131,3.5,1,1,2007,0
335,23,6000.0,3,350,3.0,3,1,1996,2
336,40,23000.0,2,211,4.0,1,1,2007,1
337,25,2700.0,2,450,2.0,1,1,1989,0
338,17,6200.0,1,121,1.4,1,1,2008,0
339,40,28900.0,0,20,2.5,3,1,2013,1
340,43,19100.0,3,4,1.6,2,1,2016,0
341,3,1500.0,3,270,2.5,0,0,1992,2
342,33,5400.0,4,181,1.5,0,0,2010,0
343,28,15700.0,1,22,0.11,2,1,2013,0
344,3,26900.0,0,170,3.0,0,1,2008,1
345,43,10600.0,5,120,2.0,0,1,2007,0
346,16,16777.0,3,77,2.4,3,1,2011,0
348,27,16900.0,0,126,3.0,1,1,2008,1
349,3,8500.0,2,265,2.8,1,1,1998,2
350,26,17800.0,5,162,1.8,0,1,2012,0
351,26,20300.0,3,198,1.8,1,1,2011,2
352,27,7200.0,3,83,1.6,2,1,2007,0
353,43,8599.0,5,169,1.6,0,1,2011,0
354,3,6400.0,2,220,2.5,3,1,1997,2
355,13,6450.0,1,150,1.4,3,1,2007,0
356,2,3600.0,3,374,2.5,0,0,2001,1
357,6,5999.0,3,121,1.6,3,1,2008,0
358,25,25000.0,3,0,2.0,2,1,2016,0
359,13,6450.0,1,149,1.4,3,1,2007,0
360,22,47500.0,0,63,4.4,0,1,2012,1
361,13,6450.0,1,150,1.4,3,1,2007,0
362,38,10500.0,3,125,2.0,3,1,2007,1
363,3,28900.0,3,78,2.0,3,1,2012,2
364,40,15500.0,0,165,2.7,1,1,2005,1
365,28,15656.589,0,0,1.6,3,1,2016,0
366,29,6700.0,3,335,2.5,1,1,1998,2
367,31,6000.0,3,171,2.0,3,1,2006,0
368,28,6700.0,3,80,1.8,3,1,2003,0
369,23,15000.0,3,147,2.5,2,1,2007,2
371,22,99000.0,0,50,4.4,0,1,2013,1
372,26,6999.0,3,288,3.2,1,1,2001,2
373,22,52000.0,0,70,4.4,0,1,2012,1
374,32,60000.0,2,11,3.8,3,1,2010,2
375,26,72700.0,5,42,2.2,0,1,2014,1
376,29,4200.0,3,290,2.0,3,1,1997,2
377,25,6800.0,1,208,2.0,3,1,2003,0
378,26,13500.0,3,317,5.0,3,1,2001,2
379,43,11000.0,4,210,1.9,0,1,2008,0
380,38,17000.0,0,28,2.0,3,1,2010,1
381,40,39000.0,0,88,4.5,0,1,2009,1
382,26,53500.0,0,46,5.5,3,1,2008,1
383,40,28999.0,3,86,3.5,3,1,2013,0
384,16,13700.0,3,120,3.5,3,1,2008,0
385,3,42000.0,3,5,2.0,3,1,2016,2
386,38,12200.0,2,103,2.0,0,1,2009,1
387,17,25600.0,0,94,2.0,0,1,2013,1
388,43,12000.0,3,186,3.2,3,1,2006,1
390,38,9700.0,0,230,2.5,1,1,2006,1
391,6,8800.0,3,110,1.6,1,1,2013,1
392,43,8900.0,2,180,1.9,0,1,2010,0
394,3,75555.0,3,30,4.4,3,1,2014,1
395,22,95555.0,0,60,4.4,0,1,2014,1
396,3,42900.0,3,2,2.0,3,1,2016,2
397,29,10950.0,3,44,1.6,1,1,2012,0
398,25,2800.0,1,100,2.0,3,1,1992,0
399,38,8400.0,3,170,3.0,3,1,2004,1
400,40,12900.0,3,177,2.4,1,1,2009,0
401,40,8900.0,3,115,1.6,3,1,2008,0
402,13,2500.0,3,313,1.6,3,1,1993,0
403,33,9500.0,4,78,1.5,0,1,2014,0
404,29,6800.0,4,170,1.3,0,1,2006,0
405,3,26999.0,0,180,4.8,1,1,2008,1
406,40,27700.0,3,21,2.5,3,1,2015,0
407,38,29500.0,0,0,2.5,3,1,2015,1
408,33,5300.0,5,145,1.5,2,1,2010,0
409,40,9100.0,3,151,1.6,1,1,2007,0
410,38,14300.0,0,110,2.5,3,1,2008,1
411,13,14999.0,0,79,2.5,3,1,2013,1
412,3,6500.0,3,298,2.5,3,1,1998,2
413,33,6600.0,5,134,1.5,0,1,2011,0
414,6,5450.0,3,242,1.6,1,1,2004,0
415,2,23800.0,0,205,4.2,1,1,2007,1
416,40,20859.15,0,1,2.0,3,1,2016,0
417,43,33700.0,5,11,1.4,3,1,2016,0
418,43,13000.0,3,140,2.0,3,1,2006,0
419,28,13300.0,0,127,3.5,1,1,2007,1
420,22,44000.0,0,99,5.0,3,1,2010,1
421,17,39900.0,0,0,2.2,0,1,2016,1
422,43,19000.0,3,109,1.8,3,1,2012,0
423,13,7200.0,1,114,1.4,1,1,2009,0
424,23,19999.0,0,142,3.5,1,1,2008,1
425,40,32000.0,3,22,2.5,3,1,2015,0
426,3,2200.0,3,303,2.5,0,0,1999,2
427,3,3100.0,4,1,2.0,0,0,2002,2
428,40,35500.0,0,165,4.0,1,1,2011,1
429,21,11200.0,3,60,1.6,3,1,2012,0
430,36,8800.0,2,26,1.0,3,1,2011,2
431,27,8000.0,0,220,2.4,1,1,2004,1
432,6,7800.0,4,142,1.8,1,1,2010,0
433,35,8500.0,3,149,1.6,1,1,2008,0
434,43,13499.0,3,162,1.4,3,1,2012,0
435,43,11500.0,2,189,2.0,0,1,2011,0
436,17,37400.0,0,0,2.2,0,1,2016,1
437,33,10999.0,5,207,2.0,0,1,2012,0
438,26,3500.0,5,395,2.3,0,0,1997,0
439,31,17895.15,1,0,1.6,0,1,2016,0
440,16,13950.0,3,143,2.0,3,1,2008,2
441,26,43500.0,3,59,4.6,3,1,2011,1
442,17,18900.0,0,145,2.0,1,1,2011,1
443,5,3500.0,3,83,1.6,3,1,2008,0
444,4,85000.0,2,20,6.0,3,1,2008,1
446,17,10800.0,0,142,2.0,0,1,2007,1
447,2,4850.0,3,270,2.6,3,1,1995,0
449,26,7900.0,2,206,2.2,0,1,2004,2
450,18,33800.0,0,44,3.7,3,1,2012,1
451,13,8900.0,3,117,2.0,3,1,2008,0
452,16,9850.0,3,140,2.0,3,1,2006,0
453,28,14500.0,0,151,2.5,0,1,2006,1
454,3,13700.0,0,270,4.6,1,1,2004,1
455,3,2900.0,4,236,2.0,0,0,2001,2
456,43,8500.0,2,200,1.6,0,1,2011,0
457,16,4800.0,3,1,1.6,3,1,1999,0
458,26,13600.0,5,190,2.2,0,1,2009,2
459,22,53500.0,0,57,3.0,0,1,2013,1
460,28,16600.0,0,83,2.0,3,1,2013,1
461,28,12300.0,3,115,2.5,3,1,2009,0
462,36,2300.0,1,91,0.6,3,0,2002,2
463,23,74777.0,0,63,5.7,1,1,2012,1
465,27,9500.0,0,225,2.4,1,1,2004,1
466,10,3650.0,3,64,1.4,3,1,2008,0
467,17,16300.0,0,125,2.7,1,1,2007,1
468,13,12000.0,1,44,1.0,3,1,2013,0
469,40,3700.0,1,282,1.4,3,1,1995,0
470,17,10800.0,0,106,2.0,1,1,2007,1
471,3,10999.0,3,225,3.0,0,1,2003,2
472,22,85900.0,0,60,3.0,0,1,2013,1
473,22,39900.0,0,120,5.0,3,1,2012,1
474,33,7899.0,5,129,1.5,2,1,2014,0
475,40,11700.0,3,131,2.4,3,1,2007,0
476,43,14500.0,3,1,1.6,2,1,2016,0
477,26,15300.0,2,120,2.6,3,1,2004,2
478,26,35500.0,0,99,5.0,1,1,2005,1
479,3,6500.0,3,335,2.8,3,1,1996,2
480,26,44000.0,2,82,5.5,3,1,2010,1
481,13,10400.0,1,45,1.0,3,1,2013,0
482,28,12500.0,0,107,2.0,1,1,2008,1
483,3,32500.0,0,152,3.0,0,1,2008,1
484,40,24000.0,0,73,4.0,3,1,2008,1
485,2,29602.95,3,1,1.4,3,1,2016,0
486,43,13500.0,5,124,2.0,0,1,2013,0
487,40,15500.0,0,146,2.4,1,1,2008,1
488,44,23880.0,3,127,3.0,3,1,2011,1
489,3,13900.0,0,184,3.0,1,1,2004,1
491,40,19800.0,0,252,4.2,0,1,2002,1
493,32,18500.0,0,200,3.2,1,1,2005,1
494,38,10900.0,0,160,3.0,3,1,2006,1
495,4,55555.0,2,45,6.0,3,1,2005,1
496,42,3300.0,3,200,1.5,1,1,2004,0
497,3,11400.0,3,206,3.0,3,1,2003,2
498,13,10066.485,1,1,1.25,3,1,2015,0
499,40,20800.0,3,49,3.5,3,1,2011,0
500,33,6300.0,5,73,1.5,0,1,2008,0
501,27,2600.0,2,200,2.4,3,0,2002,0
502,17,21166.665,3,0,1.8,3,1,2015,0
503,40,18400.0,0,160,4.7,1,1,2003,1
505,43,51900.0,0,30,3.0,0,1,2015,1
507,17,11200.0,0,78,2.0,3,1,2009,1
508,2,20500.0,3,155,3.0,3,1,2010,1
509,17,13800.0,2,57,1.6,3,1,2012,0
510,26,16800.0,2,266,3.0,0,1,2007,2
511,43,37900.0,0,73,3.0,0,1,2012,1
512,43,8700.0,2,520,2.5,0,1,1999,0
513,26,15200.0,3,195,3.0,0,1,2007,2
514,2,2650.0,4,270,2.5,0,0,2001,0
515,40,14500.0,3,127,2.4,1,1,2008,0
516,13,5700.0,1,190,1.2,3,1,2008,0
517,3,13500.0,3,233,3.0,0,1,2003,2
518,26,31900.0,3,97,2.2,0,1,2011,2
519,26,11800.0,3,167,3.2,0,1,2003,2
520,2,6399.0,4,230,2.5,0,1,1999,0
521,35,8800.0,3,140,1.8,3,1,2007,0
522,2,3800.0,3,270,2.5,0,0,2000,0
524,26,39900.0,0,127,5.5,3,1,2010,1
525,32,49900.0,0,73,3.0,0,1,2011,1
526,32,50900.0,0,53,3.6,3,1,2013,1
527,44,10200.0,3,143,2.4,2,1,2006,0
528,27,11700.0,0,197,3.0,1,1,2006,1
529,13,1250.0,1,250,2.0,3,1,1986,2
530,43,20600.0,3,107,1.8,3,1,2012,0
531,26,9200.0,3,172,2.8,3,1,1997,2
532,26,26800.0,4,160,2.2,0,1,2014,2
533,22,26700.0,0,171,3.6,0,1,2008,1
534,43,25999.0,3,60,1.8,3,1,2014,0
535,43,7600.0,5,158,2.0,0,1,2009,0
536,17,9300.0,3,90,1.6,3,1,2011,0
538,35,5200.0,4,175,1.4,3,1,2004,0
539,13,19000.0,3,21,2.0,3,1,2012,0
540,3,21500.0,2,72,3.0,3,1,2007,2
541,40,24800.0,0,90,4.0,3,1,2008,1
542,26,46700.0,3,115,5.5,3,1,2011,1
543,38,9999.0,3,76,2.0,3,1,2008,1
544,13,19500.0,1,35,2.3,3,1,2013,0
545,3,86999.0,0,0,3.0,0,1,2016,1
546,40,37600.0,0,126,4.7,3,1,2008,1
547,21,18700.0,2,87,2.2,0,1,2010,1
548,3,2450.0,3,328,2.5,0,0,1996,2
549,35,12300.0,2,102,1.8,3,1,2010,0
550,43,19900.0,2,112,2.0,3,1,2012,0
551,32,16900.0,0,120,3.2,3,1,2005,1
552,43,20900.0,3,82,2.0,0,1,2012,0
553,17,10500.0,0,120,2.7,3,1,2006,1
554,3,17900.0,2,98,3.0,3,1,2007,2
555,40,19000.0,0,263,4.2,0,1,2001,1
556,2,55000.0,0,65,2.99,0,1,2013,1
559,33,7499.0,5,123,1.5,0,1,2009,0
560,43,6500.0,4,101,2.0,0,1,2011,0
561,16,10999.0,3,130,1.8,3,1,2007,0
562,38,13000.0,0,110,3.0,3,1,2006,1
563,17,28888.0,0,20,2.2,0,1,2013,1
564,26,21000.0,0,135,3.5,3,1,2007,1
565,26,39900.0,3,29,6.3,3,1,2007,2
566,26,11000.0,3,319,2.2,0,1,2003,2
568,26,12700.0,5,160,3.0,0,1,2007,2
569,33,6400.0,5,136,1.5,0,1,2012,0
570,6,4450.0,0,164,1.7,2,1,2006,1
571,35,3300.0,3,234,1.8,3,0,2002,0
572,33,2700.0,2,160,2.0,3,0,2001,0
573,40,16000.0,0,250,4.7,1,1,2001,1
574,29,12800.0,5,190,1.7,0,1,2011,0
575,17,27768.975,0,1,2.2,0,1,2015,0
576,40,37500.0,0,115,5.7,3,1,2008,1
577,28,21303.75,0,1,2.0,3,1,2015,0
578,3,39600.0,0,98,3.0,3,1,2011,1
579,21,19600.0,0,80,2.0,1,1,2013,1
580,6,8900.0,3,58,2.0,3,1,2012,0
582,42,3350.0,3,154,1.6,1,1,2008,0
583,17,11999.0,3,162,2.2,0,1,2006,1
584,6,4999.0,3,135,1.5,1,1,2008,0
585,43,2450.0,3,200,1.3,1,1,1991,0
586,40,11999.0,3,139,3.5,3,1,2008,0
588,26,39900.0,3,84,5.5,3,1,2011,1
589,6,6300.0,1,81,1.6,3,1,2009,0
590,43,12000.0,5,196,2.0,0,1,2011,0
591,3,33000.0,3,147,3.0,0,1,2009,2
